datetime_readable,open,high,low,close,datetime_epoch,dist_sma_5,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_100,dist_sma_200,dist_ema_5,dist_ema_10,dist_ema_20,dist_ema_50,dist_ema_100,dist_ema_200,macd_pct,macd_signal_pct,macd_hist_pct,rsi_14,rsi_21,adx,di_plus,di_minus,atr_pct,atr,bb_width_pct,bb_position,trend_slope,trend_strength,trend_direction,price_change_pct,price_change_abs,hl_range_pct,body_size_pct,upper_shadow_pct,lower_shadow_pct,volatility_10,volatility_20
2025-11-21 11:45:00,26086.3,26091.55,26085.6,26090.1,1763705700,-0.0,-0.01,0.03,-0.19,-0.21,0.09,-0.0,-0.0,-0.02,-0.11,-0.1,0.05,-0.04,-0.06,0.02,45.03,43.79,39.99,12.86,29.45,0.07,18.32,0.18,0.64,1.37,0.44,1,0.01,0.01,0.02,0.01,0.01,0.0,0.03,0.05
2025-11-21 11:50:00,26090.25,26097.5,26088.8,26096.3,1763706000,0.02,0.01,0.05,-0.16,-0.18,0.12,0.02,0.02,0.0,-0.08,-0.08,0.07,-0.04,-0.05,0.02,47.66,45.53,39.38,14.82,28.41,0.07,17.63,0.19,0.75,1.61,0.58,1,0.02,0.02,0.03,0.02,0.0,0.01,0.03,0.05
2025-11-21 11:55:00,26096.2,26098.9,26092.2,26093.1,1763706300,0.01,-0.0,0.03,-0.16,-0.2,0.1,0.0,0.01,-0.01,-0.09,-0.09,0.06,-0.03,-0.05,0.02,46.43,44.78,38.68,14.99,27.6,0.06,16.85,0.18,0.67,1.48,0.53,1,-0.01,0.01,0.03,0.01,0.01,0.0,0.03,0.05
2025-11-21 12:00:00,26093.3,26106.75,26086.1,26106.55,1763706600,0.05,0.05,0.07,-0.1,-0.15,0.15,0.04,0.05,0.04,-0.04,-0.04,0.11,-0.03,-0.04,0.02,52.05,48.54,37.32,16.98,25.22,0.07,17.12,0.18,0.91,1.52,0.54,1,0.05,0.05,0.08,0.05,0.0,0.03,0.03,0.05
2025-11-21 12:05:00,26106.65,26110.9,26104.7,26107.55,1763706900,0.03,0.05,0.07,-0.09,-0.14,0.15,0.03,0.04,0.04,-0.03,-0.03,0.11,-0.02,-0.04,0.02,52.45,48.81,35.69,18.33,24.54,0.06,16.34,0.18,0.89,1.52,0.54,1,0.0,0.0,0.02,0.0,0.01,0.01,0.03,0.05
2025-11-21 12:10:00,26107.35,26126.35,26107.15,26123.9,1763707200,0.07,0.1,0.12,-0.02,-0.08,0.21,0.06,0.09,0.09,0.03,0.03,0.17,-0.01,-0.03,0.02,58.53,53.07,33.29,23.48,22.51,0.06,16.54,0.2,1.1,1.71,0.55,1,0.06,0.06,0.07,0.06,0.01,0.0,0.05,0.05
2025-11-21 12:15:00,26124.55,26139.75,26122.55,26138.2,1763707500,0.09,0.14,0.17,0.04,-0.03,0.26,0.08,0.11,0.13,0.08,0.08,0.22,0.0,-0.03,0.03,62.99,56.4,31.9,27.51,20.84,0.06,16.59,0.25,1.17,2.12,0.57,1,0.05,0.05,0.07,0.05,0.01,0.01,0.07,0.06
2025-11-21 12:20:00,26139.95,26159.7,26137.6,26157.55,1763707800,0.12,0.19,0.22,0.12,0.04,0.33,0.1,0.15,0.19,0.15,0.15,0.3,0.02,-0.02,0.04,68.01,60.4,31.59,33.34,18.9,0.06,16.98,0.31,1.22,2.65,0.57,1,0.07,0.07,0.08,0.07,0.01,0.01,0.09,0.08
2025-11-21 12:25:00,26157.65,26160.7,26147.15,26152.75,1763708100,0.06,0.14,0.19,0.11,0.02,0.31,0.05,0.11,0.15,0.12,0.13,0.27,0.03,-0.01,0.04,65.63,58.99,31.35,31.84,17.81,0.06,16.74,0.35,1.05,3.05,0.6,1,-0.02,0.02,0.05,0.02,0.01,0.02,0.1,0.09
2025-11-21 12:30:00,26151.45,26152.75,26137.35,26142.4,1763708400,-0.0,0.08,0.14,0.07,-0.02,0.27,0.01,0.06,0.1,0.08,0.09,0.23,0.03,-0.0,0.03,60.71,56.03,30.37,29.74,20.84,0.06,16.64,0.35,0.89,3.07,0.6,1,-0.04,0.04,0.06,0.03,0.0,0.02,0.1,0.09
