entry_time,exit_time,position,entry_price,target_price,stop_loss_price,lot_size,pnl_points,pnl_currency,bars_held,exit_reason,confidence,capital
2025-05-13 10:15:00,2025-05-13 10:25:00,SELL,26327.1,26319.41,26330.95,65,7.69,450.0,1,TARGET,90.0,89450.0
2025-05-13 10:25:00,2025-05-13 10:35:00,SELL,26254.0,26246.31,26257.85,65,7.69,450.0,1,TARGET,90.0,89900.0
2025-05-14 12:25:00,2025-05-14 12:35:00,SELL,26158.45,26150.76,26162.3,65,7.69,450.0,1,TARGET,90.0,90350.0
2025-05-14 12:35:00,2025-05-14 12:45:00,SELL,26114.8,26107.11,26118.65,65,7.69,450.0,1,TARGET,75.6,90800.0
2025-05-14 13:15:00,2025-05-14 13:25:00,SELL,26086.1,26078.41,26089.95,65,-3.85,-300.0,1,STOP_LOSS,90.0,90500.0
2025-05-14 13:30:00,2025-05-14 13:40:00,SELL,26105.7,26098.01,26109.55,65,7.69,450.0,1,TARGET,90.0,90950.0
2025-05-14 13:40:00,2025-05-14 13:50:00,SELL,26085.9,26078.21,26089.75,65,7.69,450.0,1,TARGET,90.0,91400.0
2025-05-15 10:05:00,2025-05-15 10:15:00,SELL,25998.6,25990.91,26002.45,65,-3.85,-300.0,1,STOP_LOSS,90.0,91100.0
2025-05-15 10:15:00,2025-05-15 10:25:00,SELL,26002.0,25994.31,26005.85,65,-3.85,-300.0,1,STOP_LOSS,90.0,90800.0
2025-05-16 09:20:00,2025-05-16 09:30:00,SELL,26458.35,26450.66,26462.2,65,7.69,450.0,1,TARGET,90.0,91250.0
2025-05-16 09:30:00,2025-05-16 09:40:00,SELL,26442.1,26434.41,26445.95,65,7.69,450.0,1,TARGET,90.0,91700.0
2025-05-16 09:45:00,2025-05-16 09:55:00,SELL,26467.05,26459.36,26470.9,65,7.69,450.0,1,TARGET,90.0,92150.0
2025-05-19 11:00:00,2025-05-19 11:10:00,BUY,26592.8,26600.49,26588.95,65,7.69,450.0,1,TARGET,90.0,92600.0
2025-05-19 11:15:00,2025-05-19 11:25:00,BUY,26603.25,26610.94,26599.4,65,-3.85,-300.0,1,STOP_LOSS,90.0,92300.0
2025-05-19 11:25:00,2025-05-19 11:35:00,BUY,26592.2,26599.89,26588.35,65,-3.85,-300.0,1,STOP_LOSS,90.0,92000.0
2025-05-20 09:50:00,2025-05-20 10:00:00,BUY,26312.85,26320.54,26309.0,65,7.69,450.0,1,TARGET,90.0,92450.0
2025-05-20 10:15:00,2025-05-20 10:25:00,SELL,26317.7,26310.01,26321.55,65,-3.85,-300.0,1,STOP_LOSS,78.3,92150.0
2025-05-20 14:05:00,2025-05-20 14:15:00,SELL,26234.2,26226.51,26238.05,65,7.69,450.0,1,TARGET,90.0,92600.0
2025-05-20 14:15:00,2025-05-20 14:25:00,SELL,26226.0,26218.31,26229.85,65,7.69,450.0,1,TARGET,90.0,93050.0
2025-05-20 14:50:00,2025-05-20 15:00:00,SELL,26192.95,26185.26,26196.8,65,7.69,450.0,1,TARGET,90.0,93500.0
2025-05-21 09:40:00,2025-05-21 09:50:00,BUY,26334.25,26341.94,26330.4,65,7.69,450.0,1,TARGET,90.0,93950.0
2025-05-21 09:50:00,2025-05-21 10:00:00,BUY,26367.75,26375.44,26363.9,65,-3.85,-300.0,1,STOP_LOSS,78.1,93650.0
2025-05-21 10:00:00,2025-05-21 10:10:00,BUY,26358.15,26365.84,26354.3,65,7.69,450.0,1,TARGET,90.0,94100.0
2025-05-21 10:10:00,2025-05-21 10:20:00,BUY,26400.65,26408.34,26396.8,65,7.69,450.0,1,TARGET,81.4,94550.0
